poll|position|artist|track
2015|6|Marcus Marr & Chet Faker|The Trouble With Us
2015|7|Jarryd James|Do You Remember
2015|8|Hermitude|The Buzz {Ft. Mataya/Young Tapz}
2015|9|The Weeknd|Can't Feel My Face
2015|10|Disclosure|Magnets {Ft. Lorde}
2015|11|Meg Mac|Never Be
2015|12|RÜFÜS|You Were Right
2015|13|Duke Dumont|Ocean Drive
2015|14|Drake|Hotline Bling
2015|15|Violent Soho|Like Soda
2015|16|Vance Joy|Fire And The Flood
2015|17|DJ Snake|Middle {Ft. Bipolar Sunshine}
2015|18|Macklemore & Ryan Lewis|DOWNTOWN {Ft. Eric Nally/Melle Mel/Kool Moe Dee/Grandmaster Caz}
2015|19|The Weeknd|The Hills
2015|20|Foals|Mountain At My Gates
2015|21|Gang Of Youths|Magnolia
2015|22|L D R U|Keeping Score {Ft. Paige IV}
2015|23|SAFIA|Embracing Me
2015|24|Flume|Some Minds {Ft. Andrew Wyatt}
2015|25|The Amity Affliction|Shine On
2015|26|Jamie xx|I Know There's Gonna Be (Good Times) {Ft. Young Thug/Popcaan}
2015|27|Vallis Alps|Young
2015|28|RÜFÜS|Like An Animal
2015|29|The Wombats|Greek Tragedy
2015|30|Peking Duk|Say My Name {Ft. Benjamin Joseph}
2015|31|Jamie xx|Loud Places {Ft. Romy}
2015|32|Chvrches|Leave A Trace
2015|33|Urthboy|Long Loud Hours {Ft. Bertie Blackman}
2015|34|Tame Impala|Eventually
2015|35|SAFIA|Counting Sheep
2015|36|Snakehips|All My Friends {Ft. Tinashe/Chance The Rapper}
2015|37|Kendrick Lamar|Alright
2015|38|Florence + The Machine|Delilah
2015|39|Illy|Swear Jar
2015|40|Florence + The Machine|Ship To Wreck
2015|41|Claptone|Puppet Theatre {Ft. Peter Bjorn & John}
2015|42|Halsey|Hold Me Down
2015|43|Courtney Barnett|Pedestrian At Best
2015|44|Hayden James|Something About You
2015|45|Bring Me The Horizon|Throne
2015|46|The Chemical Brothers|Go {Ft. Q-Tip}
2015|47|Asta|Dynamite {Ft. Allday}
2015|48|Parkway Drive|Crushed
2015|49|San Cisco|Too Much Time Together
2015|50|BOO SEEKA|Deception Bay
2015|51|Chvrches|Clearest Blue
2015|52|Ratatat|Cream On Chrome
2015|53|Matt Corby|Monday
2015|54|ZHU x Skrillex x THEY.|Working For It
2015|55|Unknown Mortal Orchestra|Multi-Love
2015|56|Sia|Alive
2015|57|Alpine|Foolish
2015|58|Parkway Drive|Vice Grip
2015|59|Alison Wonderland|Run
2015|60|MØ|Kamikaze
2015|61|Tame Impala|Cause I'm A Man
2015|62|Disclosure|Omen {Ft. Sam Smith}
2015|63|Boy & Bear|Walk The Wire
2015|64|A$AP Rocky|L$D
2015|65|Alabama Shakes|Don't Wanna Fight
2015|66|Tkay Maidza|M.O.B.
2015|67|The Wombats|Give Me A Try
2015|68|Skepta|Shutdown
2015|69|Japanese Wallpaper|Forces {Ft. Airling}
2015|70|Florence + The Machine|What Kind Of Man
2015|71|Grimes|Flesh Without Blood
2015|72|Birds Of Tokyo|Anchor
2015|73|Ngaiire|Once
2015|74|Major Lazer|Powerful {Ft. Ellie Goulding/Tarrus Riley}
2015|75|Courtney Barnett|Elevator Operator
2015|76|British India|Suddenly
2015|77|DMA's|Lay Down
2015|78|Jack Garratt|Weathered
2015|79|The Cat Empire|Wolves
2015|80|A$AP Rocky|Everyday {Ft. Rod Stewart/Miguel/Mark Ronson}
2015|81|Tuka|Big Jet Plane {triple j Like A Version}
2015|82|Courtney Barnett|Depreston
2015|83|Flight Facilities|Down To Earth {Radio Edit}
2015|84|Sticky Fingers|Delete {triple j Like A Version}
2015|85|Flight Facilities|Heart Attack {Ft. Owl Eyes} {Radio Edit}
2015|86|Bring Me The Horizon|Happy Song
2015|87|Purity Ring|Begin Again
2015|88|The Bennies|Party Machine
2015|89|Lana Del Rey|High By The Beach
2015|90|What So Not|Gemini {Ft. George Maple}
2015|91|The Wombats|Be Your Shadow
2015|92|Golden Features|No One {Ft. Thelma Plum}
2015|93|Jai Wolf|Indian Summer
2015|94|Halsey|Ghost
2015|95|Courtney Barnett|Nobody Really Cares If You Don't Go To The Party
2015|96|Rudimental|Rumour Mill {Ft. Anne-Marie/Will Heard}
2015|97|Methyl Ethel|Twilight Driving
2015|98|Major Lazer|Be Together {Ft. Wild Belle}
2015|99|Bring Me The Horizon|True Friends
2015|100|Seth Sentry|Hell Boy
2014|1|Chet Faker|Talk Is Cheap
2014|2|Peking Duk|High {Ft. Nicole Millar}
2014|3|Hilltop Hoods|Cosby Sweater
2014|4|Milky Chance|Stolen Dance
2014|5|Peking Duk|Take Me Over {Ft. SAFIA}
2014|6|Mark Ronson|Uptown Funk {Ft. Bruno Mars}
2014|7|Chet Faker|Gold
2014|8|Chet Faker|1998
2014|9|Sia|Chandelier
2014|10|Asgeir|King And Cross
2014|11|ZHU|Faded
2014|12|Glass Animals|Gooey
2014|13|Vance Joy|Mess Is Mine
2014|14|alt-J|Every Other Freckle
2014|15|The Kite String Tangle|Arcadia
2014|16|alt-J|Left Hand Free
2014|17|Illy|Tightrope {Ft. Scarlett Stevens}
2014|18|Lorde|Yellow Flicker Beat
2014|19|Ball Park Music|She Only Loves Me When I'm There
2014|20|Sticky Fingers|Gold Snafu
2014|21|Chet Faker|(Lover) You Don't Treat Me No Good {Like A Version 2014}
2014|22|The Amity Affliction|Pittsburgh
2014|23|Future Islands|Seasons (Waiting On You)
2014|24|Meg Mac|Roll Up Your Sleeves
2014|25|Bluejuice|I'll Go Crazy
2014|26|alt-J|Hunger Of The Pine
2014|27|Banks|Beggin For Thread
2014|28|The Griswolds|Beware The Dog
2014|29|The Preatures|Somebody's Talking
2014|30|Thundamentals|Something I Said {Ft. Thom Crawford}
2014|31|Childish Gambino|Sober
2014|32|Lana Del Rey|West Coast
2014|33|San Cisco|RUN
2014|34|SBTRKT|NEW DORP. NEW YORK {Ft. Ezra Koenig}
2014|35|Allday|You Always Know The DJ
2014|36|Hilltop Hoods|Won't Let You Down {Ft. Maverick Sabre}
2014|37|Alison Wonderland|I Want U
2014|38|First Aid Kit|My Silver Lining
2014|39|Flight Facilities|Two Bodies {Ft. Emma Louise}
2014|40|Broods|Mother & Father
2014|41|Carmada|Maybe
2014|42|Kim Churchill|Window To The Sky
2014|43|Jamie T|Zombie
2014|44|Milky Chance|Flashed Junk Mind
2014|45|FKA twigs|Two Weeks
2014|46|Meg Mac|Grandma's Hands
2014|47|Lorde|Tennis Court (Flume Remix)
2014|48|DMA's|Delete
2014|49|TV On The Radio|Happy Idiot
2014|50|Vance Joy|First Time
2014|51|Courtney Barnett|Pickles From The Jar
2014|52|Flight Facilities|Sunshine {Ft. Reggie Watts}
2014|53|Kendrick Lamar|i
2014|54|Chvrches|Do I Wanna Know? {Like A Version 2014}
2014|55|Caribou|Can't Do Without You
2014|56|Kingswood|I Can Feel That You Don't Love Me
2014|57|Hilltop Hoods|Walking Under Stars
2014|58|Ball Park Music|Everything Is Shit Except My Friendship With You
2014|59|Röyksopp|Monument (The Inevitable End Version) {Ft. Robyn}
2014|60|Childish Gambino|Sweatpants
2014|61|Andy Bull|Talk Too Much
2014|62|Angus & Julia Stone|Heart Beats Slow
2014|63|The War On Drugs|Red Eyes
2014|64|The Amity Affliction|Don't Lean On Me
2014|65|Allday|Right Now
2014|66|clipping.|Work Work {Ft. Cocc Pistol Cree}
2014|67|Jungle|Busy Earnin'
2014|68|Bring Me The Horizon|Drown
2014|69|The Smith Street Band|Surrender
2014|70|Odd Mob|Is It A Banger?
2014|71|The Amity Affliction|The Weigh Down
2014|72|Run The Jewels|Close Your Eyes (And Count To Fuck) {Ft. Zack De La Rocha}
2014|73|Röyksopp & Robyn|Do It Again
2014|74|Duke Dumont|I Got U {Ft. Jax Jones}
2014|75|360|Live It Up {Ft. Pez}
2014|76|Kingswood|Micro Wars
2014|77|Highasakite|Since Last Wednesday
2014|78|Thundamentals|Quit Your Job
2014|79|Jack White|Lazaretto
2014|80|Rise Against|I Don't Want To Be Here Anymore
2014|81|The Avener|Fade Out Lines
2014|82|Hopium|Dreamers {Ft. Phoebe Lou}
2014|83|British India|Wrong Direction
2014|84|Foo Fighters|Something From Nothing
2014|85|Chvrches|Get Away
2014|86|Sticky Fingers|Just For You
2014|87|Briggs|Bad Apples
2014|88|DZ Deathrays|Gina Works At Hearts
2014|89|Cold War Kids|First
2014|90|Thundamentals|Got Love {Ft. Solo}
2014|91|Meg Mac|Bridges {Like A Version 2014}
2014|92|One Day|Love Me Less
2014|93|Vance Joy|Georgia
2014|94|Sticky Fingers|Liquorlip Loaded Gun
2014|95|Thelma Plum|How Much Does Your Love Cost?
2014|96|SAFIA|Paranoia, Ghosts & Other Sounds
2014|97|Japanese Wallpaper|Between Friends {Ft. Jesse Davidson}
2014|98|Bombay Bicycle Club|Luna
2014|99|Ball Park Music|Trippin' The Light Fantastic
2014|100|Tkay Maidza|Switch Lanes {Prod. Paces}
Twenty Years '13|1|Oasis|Wonderwall
Twenty Years '13|2|The White Stripes|Seven Nation Army
Twenty Years '13|3|Jeff Buckley|Last Goodbye
Twenty Years '13|4|Hilltop Hoods|The Nosebleed Section
Twenty Years '13|5|The Verve|Bitter Sweet Symphony
Twenty Years '13|6|Foo Fighters|Everlong
Twenty Years '13|7|The Killers|Mr. Brightside
Twenty Years '13|8|Powderfinger|These Days
Twenty Years '13|9|Gotye|Somebody That I Used to Know {ft. Kimbra}
Twenty Years '13|10|Powderfinger|My Happiness
Twenty Years '13|11|Queens of the Stone Age|No One Knows
Twenty Years '13|12|Gotye|Hearts a Mess
Twenty Years '13|13|Radiohead|Paranoid Android
Twenty Years '13|14|Mumford & Sons|Little Lion Man
Twenty Years '13|15|The Prodigy|Breathe
Twenty Years '13|16|Bon Iver|Skinny Love
Twenty Years '13|17|Silverchair|Tomorrow
Twenty Years '13|18|OutKast|Hey Ya!
Twenty Years '13|19|blink-182|Dammit
Twenty Years '13|20|The Living End|Prisoner of Society
Twenty Years '13|21|The Smashing Pumpkins|1979
Twenty Years '13|22|Blur|Song 2
Twenty Years '13|23|Muse|Knights of Cydonia
Twenty Years '13|24|Augie March|One Crowded Hour
Twenty Years '13|25|The Smashing Pumpkins|Bullet With Butterfly Wings
Twenty Years '13|26|System Of A Down|Chop Suey!
Twenty Years '13|27|The Avalanches|Frontier Psychiatrist
Twenty Years '13|28|Red Hot Chili Peppers|Scar Tissue
Twenty Years '13|29|Franz Ferdinand|Take Me Out
Twenty Years '13|30|Red Hot Chili Peppers|Californication
Twenty Years '13|31|Massive Attack|Teardrop
Twenty Years '13|32|Tool|Stinkfist
Twenty Years '13|33|The Cranberries|Zombie
Twenty Years '13|34|Ben Folds Five|Brick
Twenty Years '13|35|Radiohead|Karma Police
Twenty Years '13|36|Jeff Buckley|Hallelujah
Twenty Years '13|37|Beastie Boys|Sabotage
Twenty Years '13|38|The Temper Trap|Sweet Disposition
Twenty Years '13|39|Nirvana|Heart Shaped Box
Twenty Years '13|40|Nine Inch Nails|Closer
Twenty Years '13|41|Coldplay|Yellow
Twenty Years '13|42|Matt Corby|Brother
Twenty Years '13|43|John Butler Trio|Betterman
Twenty Years '13|44|Daft Punk|One More Time
Twenty Years '13|45|Modest Mouse|Float On
Twenty Years '13|46|Nick Cave & The Bad Seeds|Into My Arms
Twenty Years '13|47|The Offspring|Self Esteem
Twenty Years '13|48|The Strokes|Last Nite
Twenty Years '13|49|Florence + the Machine|Dog Days Are Over
Twenty Years '13|50|Pearl Jam|Better Man
Twenty Years '13|51|The Dandy Warhols|Bohemian Like You
Twenty Years '13|52|Gorillaz|Feel Good Inc
Twenty Years '13|53|Placebo|Every You Every Me
Twenty Years '13|54|Kings Of Leon|Sex On Fire
Twenty Years '13|55|Fatboy Slim|Praise You
Twenty Years '13|56|Underworld|Born Slippy .NUXX
Twenty Years '13|57|Bloc Party|Banquet
Twenty Years '13|58|The Whitlams|No Aphrodisiac
Twenty Years '13|59|Daft Punk|Around The World
Twenty Years '13|60|Bush|Glycerine
Twenty Years '13|61|The Black Keys|Lonely Boy
Twenty Years '13|62|Spiderbait|Buy Me A Pony
Twenty Years '13|63|Grinspoon|Chemical Heart
Twenty Years '13|64|MGMT|Kids
Twenty Years '13|65|Daft Punk|Harder, Better, Faster, Stronger
Twenty Years '13|66|You Am I|Berlin Chair
Twenty Years '13|67|alt-J|Breezeblocks
Twenty Years '13|68|Jet|Are You Gonna Be My Girl
Twenty Years '13|69|Eminem|Lose Yourself
Twenty Years '13|70|Regurgitator|! (The Song Formerly Known As)
Twenty Years '13|71|Gorillaz|Clint Eastwood
Twenty Years '13|72|Wolfmother|Joker And The Thief
Twenty Years '13|73|Edward Sharpe & The Magnetic Zeros|Home
Twenty Years '13|74|The Wombats|Let's Dance To Joy Division
Twenty Years '13|75|The Killers|Somebody Told Me
Twenty Years '13|76|MGMT|Electric Feel
Twenty Years '13|77|The Presets|My People
Twenty Years '13|78|Silverchair|Freak
Twenty Years '13|79|Arctic Monkeys|I Bet You Look Good On The Dancefloor
Twenty Years '13|80|Rage Against The Machine|Bulls On Parade
Twenty Years '13|81|Angus & Julia Stone|Big Jet Plane
Twenty Years '13|82|Wheatus|Teenage Dirtbag
Twenty Years '13|83|Pulp|Common People
Twenty Years '13|84|Kanye West|Gold Digger {ft. Jamie Foxx}
Twenty Years '13|85|Coolio|Gangsta's Paradise
Twenty Years '13|86|The Killers|When You Were Young
Twenty Years '13|87|The Kooks|Naive
Twenty Years '13|88|Something For Kate|Monsters
Twenty Years '13|89|TV On The Radio|Wolf Like Me
Twenty Years '13|90|Silverchair|Straight Lines
Twenty Years '13|91|Jebediah|Harpoon
Twenty Years '13|92|Of Monsters And Men|Little Talks
Twenty Years '13|93|Soundgarden|Black Hole Sun
Twenty Years '13|94|Foster The People|Pumped Up Kicks
Twenty Years '13|95|Ben Lee|Cigarettes Will Kill You
Twenty Years '13|96|The Cat Empire|Hello
Twenty Years '13|97|M.I.A.|Paper Planes
Twenty Years '13|98|Jebediah|Leaving Home
Twenty Years '13|99|Lana Del Rey|Video Games
Twenty Years '13|100|Beastie Boys|Intergalactic
2013|1|Vance Joy|Riptide
2013|2|Lorde|Royals
2013|3|Daft Punk|Get Lucky {Ft. Pharrell Williams & Nile Rodgers}
2013|4|Arctic Monkeys|Do I Wanna Know?
2013|5|Flume & Chet Faker|Drop The Game
2013|6|Arctic Monkeys|Why'd You Only Call Me When You're High?
2013|7|Lana Del Rey|Young And Beautiful
2013|8|Matt Corby|Resolution
2013|9|The Preatures|Is This How You Feel?
2013|10|London Grammar|Strong
2013|11|HAIM|The Wire
2013|12|Lorde|Tennis Court
2013|13|James Blake|Retrograde
2013|14|Violent Soho|Covered In Chrome
2013|15|Lorde|Team
2013|16|Arcade Fire|Reflektor
2013|17|Daft Punk|Lose Yourself To Dance {Ft. Pharrell Williams}
2013|18|Arctic Monkeys|Arabella
2013|19|The Kite String Tangle|Given The Chance
2013|20|Kanye West|Black Skinhead
2013|21|RUFUS|Take Me
2013|22|Birds Of Tokyo|Lanterns
2013|23|Disclosure|When A Fire Starts To Burn
2013|24|Rudimental|Waiting All Night {Ft. Ella Eyre}
2013|25|The Wombats|Your Body Is A Weapon
2013|26|Vampire Weekend|Step
2013|27|HAIM|Falling
2013|28|Chvrches|Recover
2013|29|Foals|My Number
2013|30|Empire Of The Sun|Alive
2013|31|Vampire Weekend|Diane Young
2013|32|Thundamentals|Smiles Don't Lie
2013|33|Grouplove|Ways To Go
2013|34|RUFUS|Desert Night
2013|35|London Grammar|Hey Now
2013|36|Bloc Party|Ratchet
2013|37|Chvrches|Gun
2013|38|Touch Sensitive|Pizza Guy
2013|39|San Cisco|Get Lucky {Like A Version}
2013|40|The Amity Affliction|Born To Die
2013|41|Boy & Bear|Southern Sun
2013|42|Max Frost|White Lies
2013|43|Childish Gambino|3005
2013|44|Dustin Tebbutt|The Breach
2013|45|Robert Delong|Global Concepts
2013|46|Queens Of The Stone Age|If I Had A Tail
2013|47|Rudimental|Free {Ft. Emeli Sande}
2013|48|Flight Facilities|Stand Still {Ft. Micky Green}
2013|49|Daft Punk|Doin' It Right {Ft. Panda Bear}
2013|50|John Newman|Love Me Again
2013|51|Fatboy Slim & Riva Starr|Eat Sleep Rave Repeat
2013|52|Cloud Control|Scar
2013|53|Kingswood|Ohio
2013|54|Arcade Fire|Afterlife
2013|55|Boy & Bear|Harlequin Dream
2013|56|HAIM|If I Could Change Your Mind
2013|57|Andy Bull|Keep On Running
2013|58|Daft Punk|Instant Crush {Ft. Julian Casablancas}
2013|59|Kanye West|Bound 2
2013|60|Chvrches|Lies
2013|61|London Grammar|Wasting My Young Years
2013|62|Goldroom|Embrace
2013|63|Disclosure|You & Me {Flume Remix}
2013|64|The National|Graceless
2013|65|Chet Faker|Melt {Ft. Kilo Kish}
2013|66|Illy|Ausmusic Month Medley {Like A Version}
2013|67|Bliss N Eso|Act Your Age
2013|68|Something For Kate|Sweet Nothing {Like A Version}
2013|69|Disclosure|White Noise {Ft. AlunaGeorge}
2013|70|Sticky Fingers|Australia Street
2013|71|Two Door Cinema Club|Changing Of The Seasons
2013|72|Queens Of The Stone Age|I Sat By The Ocean
2013|73|Busta Rhymes|Thank You {Ft. Q-Tip, Kanye West & Lil Wayne}
2013|74|Major Lazer|Jessica {Ft. Ezra Koenig}
2013|75|Mikhael Paskalev|I Spy
2013|76|SAFIA|Listen To Soul, Listen To Blues
2013|77|Illy|Youngbloods {Ft. Ahren Stringer}
2013|78|MS MR|Fantasy
2013|79|A$AP Rocky|F**kin' Problems {Ft. Drake, 2 Chainz & Kendrick Lamar}
2013|80|Panama|Always
2013|81|Andy Bull|Baby I Am Nobody Now
2013|82|Cloud Control|Dojo Rising
2013|83|The Jezabels|The End
2013|84|British India|Summer Forgive Me
2013|85|Remi|Sangria
2013|86|Bring Me The Horizon|Sleepwalking
2013|87|John Butler Trio|Only One
2013|88|Josh Pyke|Leeward Side
2013|89|The Cat Empire|Brighter Than Gold
2013|90|Vampire Weekend|Unbelievers
2013|91|RUFUS|Tonight
2013|92|Bring Me The Horizon|Shadow Moses
2013|93|St Lucia|Elevate
2013|94|Bliss N Eso|House Of Dreams
2013|95|Vance Joy|Play With Fire
2013|96|Big Scary|Luck Now
2013|97|Queens Of The Stone Age|My God Is The Sun
2013|98|Horrorshow|Dead Star Shine
2013|99|Dillon Francis|Without You {Ft. Totally Enormous Extinct Dinosaurs}
2013|100|Karnivool|We Are
2012|1|Macklemore & Ryan Lewis|Thrift Shop {ft. Wanz}
2012|2|Of Monsters And Men|Little Talks
2012|3|alt-J|Breezeblocks
2012|4|Flume|Holdin On
2012|5|Mumford & Sons|I Will Wait
2012|6|Major Lazer|Get Free {ft. Amber Coffman}
2012|7|Tame Impala|Elephant
2012|8|Frank Ocean|Lost
2012|9|Tame Impala|Feels Like We Only Go Backwards
2012|10|The Rubens|My Gun
2012|11|Calvin Harris|Sweet Nothing {ft. Florence Welch}
2012|12|Flume|Sleepless {ft. Jezzabell Doran}
2012|13|The Black Keys|Gold On The Ceiling
2012|14|Icona Pop|I Love It {ft. Charli XCX}
2012|15|Macklemore & Ryan Lewis|Same Love {ft. Mary Lambert}
2012|16|Rudimental|Not Giving In {ft. John Newman & Alex Clare}
2012|17|Flight Facilities|Clair De Lune {ft. Christine Hoberg}
2012|18|Hermitude|HyperParadise {Flume Remix}
2012|19|The xx|Angels
2012|20|Rudimental|Feel The Love {ft. John Newman}
2012|21|Disclosure|Latch {ft. Sam Smith}
2012|22|The Temper Trap|Trembling Hands
2012|23|Ball Park Music|Coming Down
2012|24|Chet Faker|I'm Into You
2012|25|Skrillex|Bangarang {ft. Sirah}
2012|26|Seth Sentry|Dear Science
2012|27|Ball Park Music|Surrender
2012|28|Django Django|Default
2012|29|Loon Lake|Cherry Lips
2012|30|Bat For Lashes|Laura
2012|31|Alpine|Gasoline
2012|32|Florence + The Machine|Spectrum (Say My Name) {Calvin Harris Remix}
2012|33|Parachute Youth|Can't Get Better Than This
2012|34|Lana Del Rey|Born To Die
2012|35|360|Run Alone
2012|36|Miike Snow|Paddling Out
2012|37|Two Door Cinema Club|Sun
2012|38|Grimes|Oblivion
2012|39|Alabama Shakes|Hold On
2012|40|Arctic Monkeys|R U Mine?
2012|41|British India|I Can Make You Love Me
2012|42|MS MR|Hurricane
2012|43|The Lumineers|Ho Hey
2012|44|Xavier Rudd|Follow The Sun
2012|45|Chance Waters|Young & Dumb {ft. Bertie Blackman}
2012|46|Passion Pit|Take A Walk
2012|47|Of Monsters And Men|Mountain Sound
2012|48|San Cisco|Fred Astaire
2012|49|Thundamentals|Brother {Like A Version}
2012|50|Asta|My Heart Is On Fire
2012|51|Birds Of Tokyo|This Fire
2012|52|The Presets|Ghosts
2012|53|San Cisco|Wild Things
2012|54|The Bamboos|I Got Burned {ft. Tim Rogers}
2012|55|Knife Party|Internet Friends
2012|56|Frank Ocean|Thinkin Bout You
2012|57|Seth Sentry|Float Away
2012|58|Mumford & Sons|Babel
2012|59|Cosmo Jarvis|Love This
2012|60|Jack White|Love Interruption
2012|61|Sticky Fingers|Caress Your Soul
2012|62|Kid Cudi|Just What I Am {ft. King Chip}
2012|63|First Aid Kit|Wolf
2012|64|alt-J|Tessellate
2012|65|Grimes|Genesis
2012|66|The Rubens|The Best We Got
2012|67|Flume|On Top {ft. T-Shirt}
2012|68|Avicii|Silhouettes
2012|69|Matt Corby|Lonely Boy {Like A Version}
2012|70|The Presets|Promises
2012|71|Kendrick Lamar|Swimming Pools (Drank)
2012|72|Regina Spektor|All The Rowboats
2012|73|Ben Folds Five|Draw A Crowd
2012|74|The Shins|Simple Song
2012|75|Muse|Madness
2012|76|Illy|Heard It All
2012|77|Feed Me & Crystal Fighters|Love Is All I Got
2012|78|Totally Enormous Extinct Dinosaurs|Household Goods
2012|79|The Black Keys|Little Black Submarines
2012|80|Frank Ocean|Super Rich Kids {ft. Earl Sweatshirt}
2012|81|alt-J|Something Good
2012|82|Santigold|Disparate Youth
2012|83|The Jungle Giants|She's A Riot
2012|84|Hilltop Hoods|Rattling The Keys To The Kingdom
2012|85|Purity Ring|Fineshrine
2012|86|Lana Del Rey|Summertime Sadness
2012|87|The Bloody Beetroots & Greta Svabo Bech|Chronicles Of A Fallen Love
2012|88|C2C|Down The Road
2012|89|Chance Waters|Maybe Tomorrow {ft. Lilian Blue}
2012|90|Two Door Cinema Club|Sleep Alone
2012|91|Allday x C1|So Good
2012|92|Lisa Mitchell|Spiritus
2012|93|Snakadaktal|Dance Bear
2012|94|The Gaslight Anthem|45
2012|95|Last Dinosaurs|Andy
2012|96|Kanye West, JAY Z & Big Sean|Clique
2012|97|Jack White|I'm Shakin'
2012|98|Kimbra|Warrior {ft. Mark Foster & A-Trak}
2012|99|M.I.A.|Bad Girls
2012|100|Everything Everything|Cough Cough
Australian Albums '11|1|Powderfinger|Odyssey Number Five
Australian Albums '11|2|Silverchair|Frogstomp
Australian Albums '11|3|AC/DC|Back in Black
Australian Albums '11|4|The Living End|The Living End
Australian Albums '11|5|INXS|Kick
Australian Albums '11|6|Powderfinger|Internationalist
Australian Albums '11|7|The Presets|Apocalypso
Australian Albums '11|8|Wolfmother|Wolfmother
Australian Albums '11|9|The Avalanches|Since I Left You
Australian Albums '11|10|Regurgitator|Unit
Australian Albums '11|11|Gotye|Like Drawing Blood
Australian Albums '11|12|Grinspoon|Guide to Better Living
Australian Albums '11|13|Crowded House|Crowded House
Australian Albums '11|14|Powderfinger|Vulture Street
Australian Albums '11|15|Jebediah|Slightly Odway
Australian Albums '11|16|Hilltop Hoods|The Hard Road
Australian Albums '11|17|The Whitlams|Eternal Nightcap
Australian Albums '11|18|Crowded House|Woodface
Australian Albums '11|19|Tame Impala|Innerspeaker
Australian Albums '11|20|The Temper Trap|Conditions
Australian Albums '11|21|Midnight Oil|10,9,8,7,6,5,4,3,2,1
Australian Albums '11|22|Silverchair|Diorama
Australian Albums '11|23|Hilltop Hoods|The Calling
Australian Albums '11|24|The John Butler Trio|Sunrise Over Sea
Australian Albums '11|25|Jet|Get Born
Australian Albums '11|26|You Am I|Hourly, Daily
Australian Albums '11|27|Silverchair|Neon Ballroom
Australian Albums '11|28|The Cat Empire|The Cat Empire
Australian Albums '11|29|Missy Higgins|The Sound of White
Australian Albums '11|30|Karnivool|Themata
Australian Albums '11|31|Angus & Julia Stone|Down the Way
Australian Albums '11|32|Birds of Tokyo|Universes
Australian Albums '11|33|Midnight Oil|Diesel and Dust
Australian Albums '11|34|Josh Pyke|Memories & Dust
Australian Albums '11|35|You Am I|Hi Fi Way
Australian Albums '11|36|Cut Copy|In Ghost Colours
Australian Albums '11|37|The Vines|Highly Evolved
Australian Albums '11|38|Angus & Julia Stone|A Book Like This
Australian Albums '11|39|Birds of Tokyo|Birds of Tokyo
Australian Albums '11|40|Something for Kate|Echolalia
Australian Albums '11|41|Powderfinger|Double Allergic
Australian Albums '11|42|Cold Chisel|East
Australian Albums '11|43|Silverchair|Freak Show
Australian Albums '11|44|Regurgitator|Tu-Plang
Australian Albums '11|45|Karnivool|Sound Awake
Australian Albums '11|46|Empire of the Sun|Walking on a Dream
Australian Albums '11|47|Eskimo Joe|Black Fingernails, Red Wine
Australian Albums '11|48|Spiderbait|Ivy and the Big Apples
Australian Albums '11|49|John Farnham|Whispering Jack
Australian Albums '11|50|Cog|The New Normal
Australian Albums '11|51|Washington|I Believe You Liar
Australian Albums '11|52|Nick Cave & The Bad Seeds|Murder Ballads
Australian Albums '11|53|The John Butler Trio|Three
Australian Albums '11|54|Bernard Fanning|Tea & Sympathy
Australian Albums '11|55|Midnight Oil|Blue Sky Mining
Australian Albums '11|56|Cloud Control|Bliss Release
Australian Albums '11|57|The Cruel Sea|The Honeymoon Is Over
Australian Albums '11|58|Grinspoon|New Detention
Australian Albums '11|59|Sarah Blasko|As Day Follows Night
Australian Albums '11|60|Sia|We Are Born
Australian Albums '11|61|Pendulum|Hold Your Colour
Australian Albums '11|62|The Panics|Cruel Guards
Australian Albums '11|63|The John Butler Trio|Grand National
Australian Albums '11|64|george|Polyserena
Australian Albums '11|65|Cold Chisel|Cold Chisel
Australian Albums '11|66|Bliss n Eso|Running on Air
Australian Albums '11|67|Bliss n Eso|Flying Colours
Australian Albums '11|68|Art vs. Science|The Experiment
Australian Albums '11|69|Paul Kelly and The Coloured Girls|Gossip
Australian Albums '11|70|Silverchair|Young Modern
Australian Albums '11|71|The Presets|Beams
Australian Albums '11|72|Something for Kate|Beautiful Sharks
Australian Albums '11|73|AC/DC|Highway to Hell
Australian Albums '11|74|Sarah Blasko|The Overture & the Underscore
Australian Albums '11|75|Skyhooks|Living in the 70's
Australian Albums '11|76|Hunters & Collectors|Human Frailty
Australian Albums '11|77|Pendulum|Immersion
Australian Albums '11|78|The Sleepy Jackson|Lovers
Australian Albums '11|79|The Grates|Gravity Won't Get You High
Australian Albums '11|80|The Saints|(I'm) Stranded
Australian Albums '11|81|Pete Murray|Feeler
Australian Albums '11|82|The Waifs|Up All Night
Australian Albums '11|83|Lisa Mitchell|Wonder
Australian Albums '11|84|The Go-Betweens|16 Lovers Lane
Australian Albums '11|85|Hilltop Hoods|State of the Art
Australian Albums '11|86|Dead Letter Circus|This Is the Warning
Australian Albums '11|87|Eskimo Joe|A Song Is a City
Australian Albums '11|88|The Butterfly Effect|Imago
Australian Albums '11|89|Pnau|Pnau
Australian Albums '11|90|Children Collide|The Long Now
Australian Albums '11|91|Gypsy & The Cat|Gilgamesh
Australian Albums '11|92|Frenzal Rhomb|A Man's Not a Camel
Australian Albums '11|93|Augie March|Moo, You Bloody Choir
Australian Albums '11|94|Paul Dempsey|Everything Is True
