Nobel Prize for physics|1981|Arthur L. Schawlow|Male|United States|1921
Nobel Prize for physics|1945|Wolfgang Pauli|Male|Austria|1900
Nobel Prize for medicine|2019|Peter John Ratcliffe|Male|United Kingdom|1954
Nobel Prize for chemistry|1945|Artturi Virtanen|Male|Finland|1895
Nobel Prize for chemistry|1946|John H. Northrop|Male|United States|1891
Nobel Prize for chemistry|1987|Charles J. Pedersen|Male|United States|1904
Nobel Prize for literature|1957|Albert Camus|Male|France|1913
Nobel Prize for medicine|2007|Oliver Smithies|Male|United States|1925
Nobel Prize for literature|1998|José Saramago|Male|Portugal|1922
Nobel Prize for peace|1909|Paul Henri d'Estournelles de Constant|Male|France|1852
Nobel Prize for physics|1915|William Bragg|Male|United Kingdom|1862
Nobel Prize for physics|1972|Leon N. Cooper|Male|United States|1930
Nobel Prize for peace|1926|Aristide Briand|Male|France|1862
ACM Turing Award|2000|Andrew Chi-Chih Yao|Male|China|1946
Nobel Prize for physics|2015|Takaaki Kajita|Male|Japan|1959
Nobel Prize for physics|1977|John H. van Vleck|Male|United States|1899
Nobel Prize for peace|1976|Betty Williams|Female|United Kingdom|1943
Nobel Prize for medicine|1993|Phillip A. Sharp|Male|United States|1944
Nobel Prize for medicine|1996|Peter C. Doherty|Male|Australia|1940
Nobel Prize for literature|1977|Vicente Aleixandre|Male|Spain|1898
Nobel Prize for physics|1996|Douglas D. Osheroff|Male|United States|1945
Nobel Prize for chemistry|2014|William E. Moerner|Male|United States|1953
Nobel Prize for literature|1976|Saul Bellow|Male|United States|1915
Nobel Prize for physics|2000|Herbert Kroemer|Male|Germany|1928
Nobel Prize for peace|1926|Gustav Stresemann|Male|Germany|1878
Nobel Prize for peace|2016|Juan Manuel Santos Calderón|Male|Colombia|1951
Nobel Prize for physics|1963|Maria Goeppert-Mayer|Female|United States|1906
ACM Turing Award|2001|Ole-Johan Dahl|Male|Norway|1931
Fields Medal|1974|Enrico E Bombieri|Male|Italy|1946
Nobel Prize for peace|1974|Eisaku Sato|Male|Japan|1901
Nobel Prize for medicine|1992|Edwin G. Krebs|Male|United States|1918
Nobel Prize for medicine|1910|Albrecht Kossel|Male|Germany|1853
Nobel Prize for peace|1945|Cordell Hull|Male|United States|1871
Fields Medal|2010|Stanislav K. Smirnov|Male|Russia|1970
Nobel Prize for literature|2009|Herta Müller|Female|Germany|1953
Nobel Prize for chemistry|1939|Adolf Butenandt|Male|Germany|1903
Nobel Prize for peace|1907|Louis Renault|Male|France|1843
Nobel Prize for literature|1966|Samuel Agnon|Male|Israel|1888
Nobel Prize for chemistry|1974|Paul J. Flory|Male|United States|1910
ACM Turing Award|1997|Douglas C. Engelbart|Male|United States|1925
Nobel Prize for medicine|1969|Alfred D. Hershey|Male|United States|1908
Nobel Prize for economics|1977|James E. Meade|Male|United Kingdom|1907
Nobel Prize for peace|1950|Ralph Bunche|Male|United States|1904
Nobel Prize for physics|2016|Frederick Duncan M. Haldane|Male|United Kingdom|1951
Nobel Prize for peace|2001|Kofi Annan|Male|Ghana|1938
Nobel Prize for medicine|2018|Tasuku Honjo|Male|Japan|1942
Nobel Prize for chemistry|1961|Melvin Calvin|Male|United States|1911
Nobel Prize for medicine|1966|Charles B. Huggins|Male|United States|1901
Nobel Prize for economics|1982|George J. Stigler|Male|United States|1911
Nobel Prize for physics|1982|Kenneth G. Wilson|Male|United States|1936
Nobel Prize for peace|1919|Woodrow Wilson|Male|United States|1856
Nobel Prize for medicine|1984|César Milstein|Male|Argentina|1927
Nobel Prize for medicine|1964|Konrad Bloch|Male|United States|1912
Nobel Prize for physics|1974|Antony Hewish|Male|United Kingdom|1924
ACM Turing Award|1984|Niklaus Wirth|Male|Switzerland|1934
Nobel Prize for medicine|1933|Thomas H. Morgan|Male|United States|1866
Nobel Prize for physics|2017|Kip S. Thorne|Male|United States|1940
Nobel Prize for literature|1974|Eyvind Johnson|Male|Sweden|1900
Nobel Prize for literature|2014|Patrick Modiano|Male|France|1945
Fields Medal|2022|James Maynard|Male|United Kingdom|1987
Fields Medal|1982|William P. Thurston|Male|United States|1946
Fields Medal|1978|Pierre René Deligne|Male|Belgium|1944
Nobel Prize for medicine|1991|Erwin Neher|Male|Germany|1944
Nobel Prize for medicine|1997|Stanley B. Prusiner|Male|United States|1942
Nobel Prize for medicine|1961|Georg von Békésy|Male|United States|1899
Nobel Prize for physics|1993|Russell A. Hulse|Male|United States|1950
Nobel Prize for chemistry|1968|Lars Onsager|Male|United States|1903
Nobel Prize for chemistry|1991|Richard R. Ernst|Male|Switzerland|1933
ACM Turing Award|1976|Dana Stewart Scott|Male|United States|1932
Nobel Prize for physics|2008|Yoichiro Nambu|Male|United States|1921
Nobel Prize for chemistry|1902|Emil Fischer|Male|Germany|1852
Nobel Prize for chemistry|2019|Michael Stanley Whittingham|Male|United Kingdom|1941
Nobel Prize for chemistry|2015|Tomas Lindahl|Male|Sweden|1938
Nobel Prize for medicine|1967|Haldan K. Hartline|Male|United States|1903
Nobel Prize for medicine|2011|Ralph M. Steinman|Male|Canada|1943
Nobel Prize for chemistry|2018|George Pearson Smith|Male|United States|1941
ACM Turing Award|2010|Leslie Gabriel Valiant|Male|United Kingdom|1949
Nobel Prize for chemistry|2008|Roger Y. Tsien|Male|United States|1952
Nobel Prize for economics|2017|Richard H. Thaler|Male|United States|1945
ACM Turing Award|2012|Silvio Micali|Male|Italy|1954
ACM Turing Award|2002|Ronald Linn Rivest|Male|United States|1947
Nobel Prize for literature|1959|Salvatore Quasimodo|Male|Italy|1901
Nobel Prize for literature|1946|Hermann Hesse|Male|Switzerland|1877
Nobel Prize for chemistry|2002|John B. Fenn|Male|United States|1917
Nobel Prize for medicine|1947|Bernardo Houssay|Male|Argentina|1887
Nobel Prize for medicine|2012|Shinya Yamanaka|Male|Japan|1962
Nobel Prize for medicine|1983|Barbara McClintock|Female|United States|1902
Nobel Prize for peace|2021|Maria Angelita Ressa|Female|Philippines|1963
Nobel Prize for literature|2001|V.S. Naipaul|Male|United Kingdom|1932
Nobel Prize for physics|1949|Hideki Yukawa|Male|Japan|1907
Nobel Prize for medicine|1980|Jean Dausset|Male|France|1916
Nobel Prize for physics|1959|Owen Chamberlain|Male|United States|1920
Nobel Prize for physics|1909|Ferdinand Braun|Male|Germany|1850
Nobel Prize for economics|1976|Milton Friedman|Male|United States|1912
Nobel Prize for physics|2018|Arthur Ashkin|Male|United States|1922
Nobel Prize for peace|1908|Klas Pontus Arnoldson|Male|Sweden|1844
Nobel Prize for medicine|1995|Christiane Nüsslein-Volhard|Female|Germany|1942
Nobel Prize for medicine|1963|Andrew F. Huxley|Male|United Kingdom|1917
Nobel Prize for chemistry|1981|Kenichi Fukui|Male|Japan|1918
Nobel Prize for medicine|2009|Jack W. Szostak|Male|Canada|1952
Nobel Prize for medicine|1986|Stanley Cohen|Male|United States|1922
Nobel Prize for physics|2008|Toshihide Maskawa|Male|Japan|1940
Nobel Prize for medicine|2006|Andrew Z. Fire|Male|United States|1959
Fields Medal|1950|Atle Selberg|Male|Norway|1917
Nobel Prize for chemistry|1960|Willard F. Libby|Male|United States|1908
Nobel Prize for economics|1977|Bertil Ohlin|Male|Sweden|1899
Nobel Prize for physics|1993|Joseph H. Taylor Jr.|Male|United States|1941
Nobel Prize for physics|2012|Serge Haroche|Male|France|1944
Fields Medal|2006|Grigori Perelman|Male|Russia|1966
Nobel Prize for physics|2007|Albert Fert|Male|France|1938
Nobel Prize for physics|1991|Pierre-Gilles de Gennes|Male|France|1932
Nobel Prize for medicine|1959|Arthur Kornberg|Male|United States|1918
Nobel Prize for peace|1925|Charles G. Dawes|Male|United States|1865
Nobel Prize for physics|1925|Gustav Hertz|Male|Germany|1887
Nobel Prize for economics|1978|Herbert A. Simon|Male|United States|1916
Nobel Prize for medicine|1908|Ilya Mechnikov|Male|Russia|1845
Nobel Prize for peace|2018|Nadia Murad|Female|Iraq|1993
Nobel Prize for physics|1964|Nicolay G. Basov|Male|Soviet Union|1922
Nobel Prize for physics|1925|James Franck|Male|Germany|1882
Nobel Prize for literature|1987|Joseph Brodsky|Male|United States|1940
Nobel Prize for peace|1921|Hjalmar Branting|Male|Sweden|1860
Nobel Prize for physics|1950|Cecil Powell|Male|United Kingdom|1903
Nobel Prize for literature|1931|Erik Axel Karlfeldt|Male|Sweden|1864
Nobel Prize for chemistry|1989|Sidney Altman|Male|Canada|1939
Nobel Prize for medicine|1969|Max Delbrück|Male|United States|1906
Nobel Prize for economics|1990|Merton H. Miller|Male|United States|1923
Nobel Prize for chemistry|1999|Ahmed Zewail|Male|Egypt|1946
Nobel Prize for literature|1949|William Faulkner|Male|United States|1897
Nobel Prize for physics|1977|Sir Nevill F. Mott|Male|United Kingdom|1905
Nobel Prize for medicine|2009|Carol W. Greider|Female|United States|1961
Nobel Prize for medicine|2011|Bruce A. Beutler|Male|United States|1957
ACM Turing Award|1987|John Cocke|Male|United States|1925
Nobel Prize for physics|1990|Henry W. Kendall|Male|United States|1926
ACM Turing Award|2002|Leonard M. Adleman|Male|United States|1945
Nobel Prize for medicine|2012|Sir John B. Gurdon|Male|United Kingdom|1933
Nobel Prize for literature|1908|Rudolf Eucken|Male|Germany|1846
Nobel Prize for physics|1921|Albert Einstein|Male|Germany|1879
Nobel Prize for medicine|1974|Albert Claude|Male|Belgium|1899
Fields Medal|1978|Charles Louis Fefferman|Male|United States|1949
Nobel Prize for economics|2012|Alvin E. Roth|Male|United States|1951
Nobel Prize for literature|1965|Mikhail Sholokhov|Male|Soviet Union|1905
Nobel Prize for economics|1994|John C. Harsanyi|Male|United States|1920
Nobel Prize for medicine|1972|Gerald M. Edelman|Male|United States|1929
Nobel Prize for physics|1986|Heinrich Rohrer|Male|Switzerland|1933
Nobel Prize for chemistry|1959|Jaroslav Heyrovsky|Male|Czechoslovakia|1890
Nobel Prize for medicine|1935|Hans Spemann|Male|Germany|1869
Nobel Prize for physics|1952|E. M. Purcell|Male|United States|1912
Nobel Prize for chemistry|1931|Friedrich Bergius|Male|Germany|1884
Nobel Prize for chemistry|1946|Wendell M. Stanley|Male|United States|1904
Nobel Prize for medicine|2001|Tim Hunt|Male|United Kingdom|1943
Nobel Prize for chemistry|2018|Gregory Paul Winter|Male|United Kingdom|1951
Nobel Prize for literature|2018|Olga Tokarczuk|Female|Poland|1962
Nobel Prize for literature|1924|Wladyslaw Reymont|Male|Poland|1867
Nobel Prize for physics|1914|Max von Laue|Male|Germany|1879
Nobel Prize for peace|2007|Albert Arnold (Al) Gore Jr.|Male|United States|1948
Fields Medal|1994|Jean-Christophe Yoccoz|Male|France|1957
ACM Turing Award|1982|Stephen Arthur Cook|Male|United States|1939
Nobel Prize for literature|1930|Sinclair Lewis|Male|United States|1885
ACM Turing Award|2007|Edmund Melson Clarke|Male|United States|1945
ACM Turing Award|2019|Edwin Earl "Ed" Catmull|Male|United States|1945
Nobel Prize for chemistry|1996|Sir Harold Kroto|Male|United Kingdom|1939
Nobel Prize for economics|2013|Robert J. Shiller|Male|United States|1946
Nobel Prize for physics|1989|Hans G. Dehmelt|Male|United States|1922
Nobel Prize for peace|1978|Anwar al-Sadat|Male|Egypt|1918
Nobel Prize for physics|2013|François Englert|Male|Belgium|1932
Fields Medal|1970|Alan Baker|Male|United Kingdom|1939
Nobel Prize for chemistry|2007|Gerhard Ertl|Male|Germany|1936
Nobel Prize for medicine|2000|Arvid Carlsson|Male|Sweden|1923
Nobel Prize for literature|1964|Jean-Paul Sartre|Male|France|1905
Nobel Prize for physics|2019|Didier Queloz|Male|Switzerland|1966
Nobel Prize for medicine|2017|Michael W. Young|Male|United States|1949
Fields Medal|1994|Efim I. Zelmanov|Male|Russia|1955
Nobel Prize for chemistry|2003|Peter Agre|Male|United States|1949
Nobel Prize for physics|1906|J.J. Thomson|Male|United Kingdom|1856
ACM Turing Award|1993|Juris Hartmanis|Male|United States|1928
Fields Medal|1998|Richard E. Borcherds|Male|United Kingdom|1959
ACM Turing Award|2018|Yoshua Bengio|Male|Canada|1964
Nobel Prize for physics|2007|Peter Grünberg|Male|Germany|1939
Nobel Prize for physics|1958|Pavel A. Cherenkov|Male|Soviet Union|1904
Nobel Prize for literature|1911|Maurice Maeterlinck|Male|Belgium|1862
Nobel Prize for literature|1939|Frans Eemil Sillanpää|Male|Finland|1888
Nobel Prize for peace|1929|Frank B. Kellogg|Male|United States|1856
Nobel Prize for physics|1981|Nicolaas Bloembergen|Male|United States|1920
Nobel Prize for medicine|1919|Jules Bordet|Male|Belgium|1870
Nobel Prize for economics|2003|Robert F. Engle III|Male|United States|1942
Nobel Prize for peace|1927|Ferdinand Buisson|Male|France|1841
Nobel Prize for literature|1927|Henri Bergson|Male|France|1859
Nobel Prize for peace|1952|Albert Schweitzer|Male|France|1875
Nobel Prize for literature|2011|Tomas Tranströmer|Male|Sweden|1931
Nobel Prize for economics|2008|Paul Krugman Paul Krugman|Male|United States|1953
Nobel Prize for literature|1962|John Steinbeck|Male|United States|1902
Nobel Prize for medicine|1943|Henrik Dam|Male|Denmark|1895
Nobel Prize for literature|1983|William Golding|Male|United Kingdom|1911
Nobel Prize for peace|1901|Henry Dunant|Male|Switzerland|1828
ACM Turing Award|1992|Butler W. Lampson|Male|United States|1943
Fields Medal|1966|Michael Francis Atiyah|Male|United Kingdom|1929
Nobel Prize for physics|2021|Giorgio Parisi|Male|Italy|1948
Nobel Prize for physics|2011|Adam G. Riess|Male|United States|1969
Nobel Prize for peace|2011|Tawakkul Karman|Female|Yemen|1979
Nobel Prize for economics|2021|David Card|Male|Canada|1956
Nobel Prize for chemistry|1971|Gerhard Herzberg|Male|Canada|1904
Nobel Prize for economics|1981|James Tobin|Male|United States|1918
Fields Medal|1936|Jesse Douglas|Male|United States|1897
Nobel Prize for medicine|2011|Jules A. Hoffmann|Male|France|1941
Nobel Prize for literature|1948|T.S. Eliot|Male|United Kingdom|1888
Nobel Prize for physics|1978|Pyotr Kapitsa|Male|Soviet Union|1894
Nobel Prize for physics|2003|Anthony J. Leggett|Male|United Kingdom|1938
Nobel Prize for physics|1913|Heike Kamerlingh Onnes|Male|Netherlands|1853
Nobel Prize for chemistry|2003|Roderick MacKinnon|Male|United States|1956
Nobel Prize for chemistry|1986|Dudley R. Herschbach|Male|United States|1932
Nobel Prize for literature|1944|Johannes V. Jensen|Male|Denmark|1873
Nobel Prize for literature|1917|Karl Gjellerup|Male|Denmark|1857
Nobel Prize for literature|1932|John Galsworthy|Male|United Kingdom|1867
ACM Turing Award|2018|Geoffrey Hinton|Male|Canada|1947
Nobel Prize for chemistry|2008|Osamu Shimomura|Male|United States|1928
Nobel Prize for chemistry|1963|Karl Ziegler|Male|Germany|1898
Nobel Prize for economics|1993|Douglass C. North|Male|United States|1920
Nobel Prize for medicine|1932|Sir Charles Sherrington|Male|United Kingdom|1857
Nobel Prize for peace|1920|Léon Bourgeois|Male|France|1851
Nobel Prize for chemistry|1952|Archer J.P. Martin|Male|United Kingdom|1910
Nobel Prize for chemistry|2006|Roger D. Kornberg|Male|United States|1947
Nobel Prize for physics|1910|Johannes Diderik van der Waals|Male|Netherlands|1837
Nobel Prize for chemistry|1938|Richard Kuhn|Male|Germany|1900
Nobel Prize for medicine|1909|Theodor Kocher|Male|Switzerland|1841
Nobel Prize for chemistry|2016|Bernard Lucas Feringa|Male|Netherlands|1951
Nobel Prize for medicine|1956|André F. Cournand|Male|United States|1895
Nobel Prize for medicine|1965|François Jacob|Male|France|1920
Nobel Prize for peace|1996|José Ramos-Horta|Male|Timor Leste|1949
ACM Turing Award|1996|Amir Pnueli|Male|Israel|1941
Fields Medal|1994|Jean Bourgain|Male|Belgium|1954
Nobel Prize for medicine|1996|Rolf M. Zinkernagel|Male|Switzerland|1944
Nobel Prize for chemistry|2000|Alan Heeger|Male|United States|1936
Nobel Prize for economics|1975|Tjalling C. Koopmans|Male|United States|1910
Nobel Prize for medicine|2001|Sir Paul Nurse|Male|United Kingdom|1949
Nobel Prize for economics|2001|Joseph E. Stiglitz|Male|United States|1943
Nobel Prize for chemistry|1932|Irving Langmuir|Male|United States|1881
Nobel Prize for physics|1951|John Cockcroft|Male|United Kingdom|1897
Nobel Prize for medicine|1989|Harold E. Varmus|Male|United States|1939
Nobel Prize for physics|1992|Georges Charpak|Male|France|1924
Nobel Prize for economics|2020|Paul Robert Milgrom|Male|United States|1948
Nobel Prize for medicine|1958|George Beadle|Male|United States|1903
Nobel Prize for chemistry|1918|Fritz Haber|Male|Germany|1868
Fields Medal|2014|Martin Hairer|Male|Austria|1975
Nobel Prize for chemistry|2002|Kurt Wüthrich|Male|Switzerland|1938
Nobel Prize for medicine|2015|Satoshi Ōmura|Male|Japan|1935
Nobel Prize for literature|1971|Pablo Neruda|Male|Chile|1904
Nobel Prize for medicine|1987|Susumu Tonegawa|Male|Japan|1939
Nobel Prize for medicine|2008|Luc Montagnier|Male|France|1932
Nobel Prize for physics|1984|Carlo Rubbia|Male|Italy|1934
Nobel Prize for peace|1927|Ludwig Quidde|Male|Germany|1858
ACM Turing Award|1975|Allen Newell|Male|United States|1927
Nobel Prize for literature|1995|Seamus Heaney|Male|Ireland|1939
Nobel Prize for physics|1905|Philipp Lenard|Male|Germany|1862
Nobel Prize for economics|1983|Gerard Debreu|Male|United States|1921
Nobel Prize for physics|1918|Max Planck|Male|Germany|1858
Nobel Prize for physics|2002|Riccardo Giacconi|Male|United States|1931
Nobel Prize for medicine|1922|Otto Meyerhof|Male|Germany|1884
Nobel Prize for medicine|1986|Rita Levi-Montalcini|Female|Italy|1909
ACM Turing Award|2008|Barbara Liskov|Female|United States|1939
Nobel Prize for medicine|1949|Walter Hess|Male|Switzerland|1881
ACM Turing Award|1999|Frederick P. Brooks|Male|United States|1931
Nobel Prize for medicine|1959|Severo Ochoa|Male|United States|1905
Nobel Prize for peace|1902|Élie Ducommun|Male|Switzerland|1833
Nobel Prize for chemistry|2005|Robert H. Grubbs|Male|United States|1942
ACM Turing Award|2004|Robert E. Kahn|Male|United States|1938
Nobel Prize for physics|1959|Emilio Segrè|Male|United States|1905
Nobel Prize for medicine|2000|Paul Greengard|Male|United States|1925
Nobel Prize for literature|1904|Frédéric Mistral|Male|France|1830
Nobel Prize for literature|2006|Orhan Pamuk|Male|Turkey|1952
Fields Medal|1962|Lars Hörmander|Male|Sweden|1931
Nobel Prize for physics|1988|Leon M. Lederman|Male|United States|1922
Nobel Prize for medicine|1971|Earl W. Sutherland, Jr.|Male|United States|1915
Nobel Prize for economics|2005|Thomas C. Schelling|Male|United States|1921
Nobel Prize for physics|1963|J. Hans D. Jensen|Male|Germany|1907
Nobel Prize for peace|1973|Le Duc Tho|Male|Viet Nam|1910
Nobel Prize for chemistry|1980|Walter Gilbert|Male|United States|1932
Nobel Prize for medicine|1999|Günter Blobel|Male|United States|1936
Nobel Prize for medicine|1954|Thomas H. Weller|Male|United States|1915
Nobel Prize for physics|1998|Daniel C. Tsui|Male|United States|1939
Nobel Prize for physics|2020|Reinhard Genzel|Male|Germany|1952
Nobel Prize for literature|1919|Carl Spitteler|Male|Switzerland|1845
Nobel Prize for medicine|1978|Hamilton O. Smith|Male|United States|1931
Nobel Prize for chemistry|1978|Peter Mitchell|Male|United Kingdom|1920
Nobel Prize for physics|1987|J. Georg Bednorz|Male|Germany|1950
Nobel Prize for physics|1929|Louis de Broglie|Male|France|1892
Nobel Prize for physics|1995|Frederick Reines|Male|United States|1918
Nobel Prize for peace|1911|Tobias Asser|Male|Netherlands|1838
Nobel Prize for economics|1997|Robert C. Merton|Male|United States|1944
Nobel Prize for physics|1989|Wolfgang Paul|Male|Germany|1913
Nobel Prize for physics|1903|Marie Curie|Female|France|1867
Nobel Prize for physics|1978|Arno Penzias|Male|United States|1933
Nobel Prize for peace|1995|Joseph Rotblat|Male|United Kingdom|1908
Nobel Prize for medicine|1923|Frederick G. Banting|Male|Canada|1891
Nobel Prize for peace|1936|Carlos Saavedra Lamas|Male|Argentina|1878
Nobel Prize for medicine|1929|Sir Frederick Hopkins|Male|United Kingdom|1861
Nobel Prize for physics|1909|Guglielmo Marconi|Male|Italy|1874
Nobel Prize for chemistry|1975|John Cornforth|Male|Australia|1917
Fields Medal|2014|Manjul Bhargava|Male|Canada|1974
Nobel Prize for medicine|1976|D. Carleton Gajdusek|Male|United States|1923
Nobel Prize for chemistry|1994|George A. Olah|Male|United States|1927
Nobel Prize for physics|1956|William B. Shockley|Male|United States|1910
Nobel Prize for economics|2013|Eugene F. Fama|Male|United States|1939
Nobel Prize for chemistry|2009|Ada E. Yonath|Female|Israel|1939
Nobel Prize for medicine|1974|George E. Palade|Male|United States|1912
ACM Turing Award|2013|Leslie Lamport|Male|United States|1941
Nobel Prize for peace|1982|Alva Myrdal|Female|Sweden|1902
Nobel Prize for chemistry|1986|John C. Polanyi|Male|Canada|1929
Nobel Prize for literature|2002|Imre Kertész|Male|Hungary|1929
Nobel Prize for medicine|1911|Allvar Gullstrand|Male|Sweden|1862
Nobel Prize for chemistry|1969|Derek Barton|Male|United Kingdom|1918
Nobel Prize for physics|1965|Richard P. Feynman|Male|United States|1918
Nobel Prize for peace|2011|Ellen Johnson Sirleaf|Female|Liberia|1938
Nobel Prize for chemistry|1948|Arne Tiselius|Male|Sweden|1902
Nobel Prize for economics|1996|James A. Mirrlees|Male|United Kingdom|1936
Nobel Prize for physics|1903|Pierre Curie|Male|France|1859
Nobel Prize for chemistry|1951|Glenn T. Seaborg|Male|United States|1912
Nobel Prize for chemistry|1989|Thomas R. Cech|Male|United States|1947
Nobel Prize for physics|1933|Paul A.M. Dirac|Male|United Kingdom|1902
Nobel Prize for economics|1991|Ronald H. Coase|Male|United Kingdom|1910
Nobel Prize for peace|1905|Bertha von Suttner|Female|Austria|1843
Nobel Prize for chemistry|2005|Richard R. Schrock|Male|United States|1945
Nobel Prize for physics|2018|Gérard Mourou|Male|France|1944
Nobel Prize for physics|1997|Claude Cohen-Tannoudji|Male|France|1933
Nobel Prize for peace|1991|Aung San Suu Kyi|Female|Myanmar|1945
Nobel Prize for chemistry|1935|Irène Joliot-Curie|Female|France|1897
Nobel Prize for peace|1946|John R. Mott|Male|United States|1865
ACM Turing Award|2016|Tim Berners-Lee|Male|United Kingdom|1955
